,title,year_publication
817,shock corridor,1963
818,hitler: a film from germany,1977
819,losing ground,1982
820,ferris bueller's day off,1986
821,white heat,1949
822,y tu mamá también,2001
823,evil dead ii,1987
824,petite maman,2021
825,the tin drum,1979
826,the idiots,1998
827,they were expendable,1945
828,memento,2000
829,forbidden games,1952
830,an american werewolf in london,1981
831,the producers,1968
832,deep end,1970
833,we all loved each other so much,1974
834,edward scissorhands,1990
835,"la commune (paris, 1871)",2000
836,funeral parade of roses,1969
837,sicilia!,1999
838,the right stuff,1983
839,the thief of bagdad,1940
840,paper moon,1973
841,outskirts,1933
842,point break,1991
843,breakfast at tiffany's,1961
844,o lucky man!,1973
845,red sorghum,1987
846,invasion of the body snatchers,1956
847,irréversible,2002
848,the adventures of robin hood,1938
849,once upon a time... in hollywood,2019
850,grizzly man,2005
851,35 shots of rum,2008
852,the unknown,1927
853,spione,1928
854,inglourious basterds,2009
855,"too early, too late",1981
856,the naked island,1960
857,scarface,1983
858,the misfits,1961
859,shame,1968
860,the night of counting the years,1969
861,the seasons,1975
862,blue is the warmest colour,2013
863,the woman next door,1981
864,akira kurosawa's dreams,1990
865,the great escape,1963
866,the miracle of morgan's creek,1944
867,the phantom carriage,1921
868,the african queen,1951
869,heimat,1984
870,zabriskie point,1970
871,claire's knee,1970
872,clueless,1995
873,starship troopers,1997
874,angel,1937
875,margaret,2011
876,toute une nuit,1982
877,time of the gypsies,1989
878,assault on precinct 13,1976
879,it's a gift,1934
880,"spring, summer, autumn, winter… and spring",2003
881,welfare,1975
882,shanghai express,1932
883,gloria,1980
884,l'amour fou,1968
885,stroszek,1977
886,exotica,1994
887,female trouble,1974
888,juliet of the spirits,1965
889,mysteries of lisbon,2010
890,persepolis,2007
891,the end of summer,1961
892,the asthenic syndrome,1989
893,mikey and nicky,1976
894,the red and the white,1967
895,my little loves,1974
896,amores perros,2000
897,sideways,2004
898,ceddo,1977
899,showgirls,1995
900,monty python and the holy grail,1975
901,wendy and lucy,2008
902,cría cuervos,1976
903,anatomy of a murder,1959
904,people on sunday,1930
905,the criminal life of archibaldo de la cruz,1955
906,night of the demon,1957
907,mothlight,1963
908,zorns lemma,1970
909,from the clouds to the resistance,1979
910,tongues untied,1989
911,cemetery of splendour,2015
912,deep red,1975
913,simon of the desert,1965
914,saving private ryan,1998
915,othello,1951
916,atlantics,2019
917,7th heaven,1927
918,portrait of jennie,1948
919,the last temptation of christ,1988
920,the bridges of madison county,1995
921,the last emperor,1987
922,dirty harry,1971
923,let the right one in,2008
924,"khrustalyov, my car!",1998
925,doomed love,1978
926,meek's cutoff,2010
927,the fountainhead,1949
928,seven beauties,1975
929,airplane!,1980
930,sawdust and tinsel,1953
931,the long farewell,1971
932,duel in the sun,1946
933,perfumed nightmare,1977
934,true heart susie,1919
935,mother india,1957
936,gun crazy,1950
937,mon oncle d'amérique,1980
938,port of shadows,1938
939,la chienne,1931
940,olympia,1938
941,american graffiti,1973
942,the river,1997
943,american beauty,1999
944,a history of violence,2005
945,numéro deux,1975
946,la bête humaine,1938
947,léon,1994
948,not reconciled,1965
949,arabian nights,1974
950,elephant,1989
951,reds,1981
952,the reckless moment,1949
953,"moi, un noir",1958
954,le boucher,1970
955,near dark,1987
956,an american in paris,1951
957,spartacus,1960
958,duel,1971
959,handsworth songs,1986
960,anatahan,1953
961,l'enfance nue,1968
962,elevator to the gallows,1958
963,the killer,1989
964,le trou,1960
965,the godfather part iii,1990
966,cul-de-sac,1966
967,rope,1948
968,before sunrise,1995
969,berlin: symphony of a great city,1927
970,blood simple,1984
971,roman holiday,1953
972,the last detail,1973
973,who's afraid of virginia woolf?,1966
974,caro diario,1994
975,the lord of the rings: the return of the king,2003
976,they live,1988
977,saturday night and sunday morning,1960
978,beyond the valley of the dolls,1970
979,the return,2003
980,the tarnished angels,1957
981,sweetie,1989
982,"america, america",1963
983,fox and his friends,1975
984,the 47 ronin,1941
985,a page of madness,1926
986,z,1969
987,the host,2006
988,les maîtres fous,1955
989,mildred pierce,1945
990,lady windermere's fan,1925
991,le sang des bêtes,1949
992,the naked kiss,1964
993,the straight story,1999
994,floating weeds,1959
995,sholay,1975
996,branded to kill,1967
997,trás-os-montes,1976
998,kwaidan,1964
999,carlito's way,1993
