,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
157,midnight cowboy,1969,3600000,44785053.0,113.0,[18],en,14.481,3116,7.504,1137.0
158,the last picture show,1971,1300000,29133000.0,119.0,[18],en,13.724,25188,7.7,559.0
159,dog day afternoon,1975,1800000,46665856.0,125.0,"[80, 18, 53]",en,16.637,968,7.83,2552.0
160,marnie,1964,2135000,7000000.0,130.0,"[80, 18, 9648, 10749, 53]",en,14.469,506,7.163,953.0
161,amadeus,1984,18000000,51973029.0,180.0,"[36, 10402, 18]",en,20.368,279,8.039,3685.0
162,night of the living dead,1968,4200000,5835247.0,88.0,"[27, 53]",en,17.783,19185,6.8,724.0
163,high and low,1963,250000,0.0,142.0,"[80, 18, 9648, 53]",ja,14.932,12493,8.328,688.0
164,mad max: fury road,2015,150000000,378858340.0,121.0,"[28, 12, 878]",en,43.022,76341,7.574,20495.0
165,how green was my valley,1941,1250000,6000000.0,118.0,"[18, 10751]",en,8.863,43266,7.245,326.0
166,heaven's gate,1980,44000000,3484331.0,217.0,"[18, 37]",en,8.801,10935,6.799,291.0
167,last tango in paris,1972,1250000,36182181.0,129.0,"[18, 10749]",it,15.515,1643,7.025,1066.0
168,get out,2017,4500000,255407969.0,104.0,"[9648, 53, 27]",en,44.24,419430,7.618,15611.0
169,the king of comedy,1983,20000000,2536000.0,109.0,"[18, 35]",en,16.516,262,7.8,1912.0
170,peeping tom,1960,150000,83957.0,101.0,"[27, 53, 18]",en,14.213,11167,7.5,656.0
171,an affair to remember,1957,2100000,3800000.0,111.0,"[18, 10749]",en,9.118,8356,7.41,391.0
172,lost highway,1997,15000000,3756869.0,134.0,"[18, 53, 9648]",en,16.904,638,7.61,2232.0
173,the white ribbon,2009,21555450,11652157.0,144.0,"[18, 9648]",de,9.51,37903,7.5,891.0
174,fitzcarraldo,1982,7362000,0.0,157.0,"[18, 12]",de,10.935,9343,7.636,631.0
175,the elephant man,1980,5000000,26010864.0,124.0,"[18, 36]",en,15.862,1955,8.057,3018.0
176,orlando,1992,4000000,5377643.0,90.0,"[18, 14]",en,10.372,9300,6.962,263.0
177,harold and maude,1971,1200000,0.0,91.0,"[35, 18, 10749]",en,9.672,343,7.634,926.0
178,two-lane blacktop,1971,850000,0.0,102.0,[18],en,9.004,27236,6.962,196.0
179,the birth of a nation,1915,100000,11000000.0,193.0,"[18, 36, 10752]",en,10.661,618,6.046,463.0
180,it happened one night,1934,325000,4500000.0,105.0,"[35, 10749]",en,10.687,3078,7.88,1028.0
181,crimes and misdemeanors,1989,19000000,18254702.0,104.0,"[35, 18]",en,9.499,11562,7.503,752.0
182,aliens,1986,18500000,183316455.0,137.0,"[28, 53, 878]",en,45.424,679,7.92,8428.0
183,this is spinal tap,1984,2500000,4736202.0,82.0,"[10402, 35]",en,13.347,11031,7.468,1213.0
184,dawn of the dead,1978,26000000,102278712.0,101.0,"[27, 28]",en,31.443,924,7.033,3465.0
185,the silence of the lambs,1991,19000000,272742922.0,119.0,"[80, 18, 53]",en,10.48,274,8.345,14486.0
186,day for night,1973,700000,850000.0,116.0,"[35, 18]",fr,10.976,1675,7.858,529.0
187,the awful truth,1937,600000,3000000.0,91.0,"[35, 10749]",en,6.338,14675,7.287,244.0
188,suspiria,1977,20000000,6348889.0,152.0,"[14, 27, 53, 18]",en,18.215,361292,6.938,2214.0
189,the headless woman,2008,2700000,0.0,87.0,"[18, 9648, 53]",es,4.589,8898,6.371,85.0
190,snow white and the seven dwarfs,1937,1488423,184925486.0,83.0,"[14, 16, 10751]",en,60.242,408,7.113,6648.0
191,safe,1995,30000000,40346186.0,94.0,"[28, 80, 53]",en,25.604,72387,6.463,2154.0
192,dogville,2003,10000000,16680836.0,178.0,"[80, 18, 53]",en,16.5,553,7.786,2108.0
193,fantasia,1940,2280000,76411819.0,124.0,"[16, 10751]",en,27.546,756,7.4,2704.0
194,chelsea girls,1966,3000,0.0,210.0,[18],en,5.072,1686,5.569,29.0
195,festen,1998,1300000,0.0,105.0,[18],da,9.017,309,7.717,869.0
196,the shawshank redemption,1994,25000000,28341469.0,142.0,"[18, 80]",en,88.103,278,8.7,23727.0
197,limelight,1952,900000,1000000.0,137.0,"[18, 10402, 10749]",en,8.442,28971,7.952,444.0
198,holy motors,2012,4000000,641100.0,115.0,"[18, 14]",fr,10.362,103328,7.051,1001.0
199,bride of frankenstein,1935,393750,2000000.0,75.0,"[18, 27, 878]",en,11.184,229,7.559,794.0
200,under the skin,2013,13300000,5735963.0,108.0,"[53, 878, 18]",en,20.724,97370,6.123,3025.0
201,a trip to the moon,1902,5985,0.0,15.0,"[12, 878]",fr,16.929,775,7.957,1515.0
202,if….,1968,52000000,352114312.0,141.0,"[18, 80]",en,92.788,640,7.966,13867.0
203,lost in translation,2003,4000000,119723856.0,102.0,"[18, 10749, 35]",en,19.239,153,7.393,6502.0
204,scenes from a marriage,1973,150000,0.0,169.0,"[18, 10749]",sv,8.357,133919,8.178,287.0
205,the scarlet empress,1934,900000,0.0,104.0,"[18, 36, 10749]",en,6.807,31527,6.98,101.0
206,a star is born,1954,36000000,433888866.0,136.0,"[10402, 18, 10749]",en,22.403,332562,7.506,10829.0
207,the long goodbye,1973,1700000,959000.0,112.0,"[80, 9648, 53, 35]",en,12.963,1847,7.457,492.0
208,paris is burning,1990,500000,3779620.0,71.0,[99],en,8.461,31225,8.086,415.0
209,all the president's men,1976,8500000,70600000.0,138.0,"[18, 36, 9648, 53]",en,12.623,891,7.7,1549.0
210,dersu uzala,1975,4000000,0.0,141.0,"[28, 12, 18]",ru,12.447,9764,8.042,427.0
211,high noon,1952,730000,8000000.0,85.0,[37],en,16.673,288,7.705,1221.0
212,network,1976,3800000,23689877.0,122.0,[18],en,15.878,10774,7.85,1449.0
213,the act of killing,2012,1000000,722714.0,159.0,[99],id,9.566,123678,7.694,599.0
214,to kill a mockingbird,1962,2000000,13129846.0,129.0,"[18, 80]",en,15.054,595,8.01,2273.0
215,phantom thread,2017,35000000,47756590.0,130.0,"[18, 10749]",en,16.032,400617,7.301,3117.0
216,shane,1953,3100000,20000000.0,118.0,"[18, 37]",en,9.977,3110,7.455,506.0
217,casino,1995,50000000,116112375.0,179.0,"[80, 18, 36]",en,30.186,524,8.017,5027.0
218,a.i. artificial intelligence,2001,100000000,235926552.0,146.0,"[18, 878, 12]",en,21.9,644,7.041,5562.0
219,the death of mr. lazarescu,2005,390000,216000.0,150.0,"[35, 18]",ro,6.853,31032,7.195,151.0
220,elephant,2003,3000000,10012022.0,81.0,"[80, 18]",en,32.071,1807,7.1,1647.0
221,blue,1993,17500000,0.0,116.0,"[28, 12, 53]",hi,4.135,24595,4.0,36.0
222,the damned,1969,3000000,5758519.0,87.0,"[53, 27, 9648]",en,5.663,258086,5.5,222.0
223,inland empire,2006,15000000,4045770.0,180.0,"[9648, 53, 27]",en,13.051,1730,7.1,927.0
224,after life,1998,4500000,3606395.0,104.0,"[18, 27, 9648, 53]",en,20.349,36419,6.243,952.0
